epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6927,1.64186,2.7265,1.81713,0.00389,1,0.53453,0.26685,1.02835,3.25497,1.4709,4e-05,4e-05,4e-05
2,26.3854,1.50658,2.65083,1.66744,0.00389,1,0.6018,0.33189,0.92188,3.24413,1.3982,9.901e-05,9.901e-05,9.901e-05
3,38.7309,1.212,2.36253,1.53808,0.00389,1,0.69372,0.34221,0.95574,3.16506,1.41612,0.000156832,0.000156832,0.000156832
4,49.7369,1.30253,2.36489,1.59798,0.00389,1,0.87367,0.47377,1.11377,3.11272,1.54946,0.000213466,0.000213466,0.000213466
5,60.6706,1.1851,1.80129,1.42323,0.00389,1,0.89667,0.48754,1.16967,3.06286,1.60603,0.000268912,0.000268912,0.000268912
6,72.2583,1.19477,1.77516,1.43449,0.00389,1,0.85524,0.43363,1.17789,2.98607,1.55035,0.00032317,0.00032317,0.00032317
7,83.1012,1.12734,1.71505,1.44609,0.00389,1,0.7,0.37463,1.1878,3.06562,1.56661,0.00037624,0.00037624,0.00037624
8,93.9238,1.21003,2.05572,1.61948,0.00389,1,0.62606,0.34214,1.46805,3.28303,1.71421,0.000428122,0.000428122,0.000428122
9,105.092,1.1552,1.66151,1.38798,0.00389,1,0.58301,0.17671,1.76362,3.45878,2.10958,0.000478816,0.000478816,0.000478816
10,116.197,1.01005,1.58156,1.39727,0.00389,1,0.48392,0.13957,1.74062,3.61953,2.3069,0.000528322,0.000528322,0.000528322
11,127,1.02497,1.64013,1.30801,0.20478,1,0.48517,0.18619,1.61639,3.41825,1.92934,0.00057664,0.00057664,0.00057664
12,137.917,1.0218,1.49881,1.47477,0.0075,1,0.68933,0.34268,1.39775,3.00628,2.04403,0.00062377,0.00062377,0.00062377
13,149.172,1.01996,1.56068,1.36535,0.00767,1,0.6889,0.3727,1.24404,3.047,1.92131,0.000669712,0.000669712,0.000669712
14,162.464,1.09805,1.59401,1.2615,0.25362,0.43753,0.37055,0.21956,1.30295,2.95271,1.92853,0.000714466,0.000714466,0.000714466
15,181.689,1.06396,1.69834,1.42244,0.25362,0.43753,0.37055,0.21956,1.30295,2.95271,1.92853,0.000758032,0.000758032,0.000758032
16,194.939,0.88651,1.68424,1.2447,1,0.28387,0.51064,0.21857,1.22803,2.92303,1.86231,0.00080041,0.00080041,0.00080041
17,205.971,1.02214,1.37975,1.39661,0.74224,0.42857,0.69399,0.31258,1.13327,2.71843,1.67969,0.0008416,0.0008416,0.0008416
18,216.781,1.02518,3.57691,1.48628,0.74224,0.42857,0.69399,0.31258,1.13327,2.71843,1.67969,0.000881602,0.000881602,0.000881602
19,227.628,1.01447,1.96462,1.43041,0.92492,0.42857,0.79333,0.34964,1.09601,2.64879,1.62886,0.000920416,0.000920416,0.000920416
20,238.678,1.27876,1.6589,1.55615,0.97255,0.85714,0.94409,0.46504,1.25394,2.60283,2.16569,0.000958042,0.000958042,0.000958042
21,249.741,1.21831,1.72351,1.46104,0.97255,0.85714,0.94409,0.46504,1.25394,2.60283,2.16569,0.00099448,0.00099448,0.00099448
22,260.504,1.35708,1.77387,1.52845,0.82077,0.66043,0.83692,0.39539,1.73718,2.60058,2.66572,0.00102973,0.00102973,0.00102973
23,271.338,1.31643,1.76848,1.43623,0.82077,0.66043,0.83692,0.39539,1.73718,2.60058,2.66572,0.00106379,0.00106379,0.00106379
24,282.363,1.35109,1.92065,1.54412,0.41252,0.7031,0.53483,0.18173,1.66216,2.89634,2.42872,0.00109667,0.00109667,0.00109667
25,292.559,1.08909,1.43508,1.35556,0.41252,0.7031,0.53483,0.18173,1.66216,2.89634,2.42872,0.00112835,0.00112835,0.00112835
26,302.67,1.17739,1.52339,1.4226,0.55735,1,0.66692,0.36665,1.45653,2.51493,2.0454,0.00115885,0.00115885,0.00115885
27,312.609,1.20724,1.50743,1.44492,0.55735,1,0.66692,0.36665,1.45653,2.51493,2.0454,0.00118816,0.00118816,0.00118816
28,322.648,1.11239,1.40839,1.33659,0.59708,0.71429,0.7897,0.39992,1.4177,4.17021,2.08622,0.00121628,0.00121628,0.00121628
29,332.593,1.0822,1.2814,1.35854,0.59708,0.71429,0.7897,0.39992,1.4177,4.17021,2.08622,0.00124322,0.00124322,0.00124322
30,342.592,1.08477,1.26598,1.25642,0.59708,0.71429,0.7897,0.39992,1.4177,4.17021,2.08622,0.00126896,0.00126896,0.00126896
31,352.663,1.06611,1.36346,1.37441,0.56675,0.75027,0.75522,0.35179,1.61359,4.87747,2.3673,0.00129352,0.00129352,0.00129352
32,362.629,1.01196,1.35464,1.28441,0.56675,0.75027,0.75522,0.35179,1.61359,4.87747,2.3673,0.00131689,0.00131689,0.00131689
33,372.64,1.05571,1.34861,1.27278,0.58302,0.99881,0.73967,0.30323,1.47686,2.99752,2.10908,0.00133907,0.00133907,0.00133907
34,382.732,1.26055,1.50727,1.53119,0.58302,0.99881,0.73967,0.30323,1.47686,2.99752,2.10908,0.0013466,0.0013466,0.0013466
35,393.051,1.10186,1.43332,1.31505,0.58302,0.99881,0.73967,0.30323,1.47686,2.99752,2.10908,0.0013268,0.0013268,0.0013268
36,402.983,1.13092,1.38397,1.28266,0.60047,0.71429,0.57841,0.34986,1.39918,2.51813,1.87775,0.001307,0.001307,0.001307
